5.291;1.308;9.90E-03
5.263;1.31;9.93E-03
5.236;1.311;1.00E-02
5.208;1.313;1.01E-02
5.181;1.314;1.03E-02
5.155;1.316;1.05E-02
5.128;1.317;1.08E-02
5.102;1.318;1.10E-02
5.076;1.318;1.15E-02
5.051;1.319;1.18E-02
5.025;1.32;1.22E-02
5;1.321;1.26E-02
4.975;1.322;1.29E-02
4.95;1.322;1.33E-02
4.926;1.323;1.37E-02
4.902;1.324;1.40E-02
4.878;1.324;1.43E-02
4.854;1.325;1.46E-02
4.831;1.325;1.48E-02
4.808;1.325;1.51E-02
4.785;1.325;1.53E-02
4.762;1.325;1.55E-02
4.739;1.325;1.57E-02
4.717;1.326;1.57E-02
4.695;1.326;1.57E-02
4.673;1.326;1.56E-02
4.651;1.327;1.54E-02
4.63;1.327;1.52E-02
4.608;1.327;1.49E-02
4.587;1.327;1.45E-02
4.566;1.327;1.40E-02
4.545;1.328;1.36E-02
4.525;1.328;1.31E-02
4.505;1.329;1.26E-02
4.484;1.329;1.22E-02
4.464;1.329;1.17E-02
4.444;1.33;1.12E-02
4.425;1.33;1.08E-02
4.405;1.33;1.04E-02
4.386;1.331;1.00E-02
4.367;1.332;9.66E-03
4.348;1.332;9.27E-03
4.329;1.333;8.96E-03
4.31;1.334;8.64E-03
4.292;1.334;8.33E-03
4.274;1.335;8.06E-03
4.255;1.337;7.79E-03
4.237;1.337;7.49E-03
4.219;1.338;7.22E-03
4.202;1.34;6.96E-03
4.184;1.34;6.73E-03
4.167;1.341;6.53E-03
4.149;1.342;6.31E-03
4.132;1.343;6.08E-03
4.115;1.344;5.86E-03
4.098;1.344;5.68E-03
4.082;1.345;5.49E-03
4.065;1.346;5.31E-03
4.049;1.347;5.12E-03
4.032;1.348;4.94E-03
4.016;1.348;4.79E-03
4;1.349;4.65E-03
3.984;1.35;4.50E-03
3.968;1.351;4.33E-03
3.953;1.352;4.22E-03
3.937;1.353;4.10E-03
3.922;1.354;3.99E-03
3.906;1.355;3.89E-03
3.891;1.357;3.78E-03
3.876;1.358;3.70E-03
3.861;1.358;3.63E-03
3.846;1.36;3.52E-03
3.831;1.361;3.48E-03
3.817;1.361;3.40E-03
3.802;1.363;3.39E-03
3.788;1.365;3.35E-03
3.774;1.366;3.36E-03
3.759;1.367;3.35E-03
3.745;1.369;3.40E-03
3.731;1.37;3.47E-03
3.717;1.371;3.55E-03
3.704;1.372;3.63E-03
3.69;1.374;3.76E-03
3.676;1.375;3.89E-03
3.663;1.377;4.05E-03
3.65;1.378;4.24E-03
3.636;1.379;4.49E-03
3.623;1.382;4.73E-03
3.61;1.383;5.06E-03
3.597;1.385;5.38E-03
3.584;1.387;5.79E-03
3.571;1.388;6.25E-03
3.559;1.39;6.83E-03
3.546;1.392;7.37E-03
3.534;1.394;8.07E-03
3.521;1.396;8.66E-03
3.509;1.398;9.41E-03
3.497;1.4;1.01E-02
3.484;1.403;1.10E-02
3.472;1.405;1.18E-02
3.46;1.407;1.28E-02
3.448;1.41;1.38E-02
3.436;1.413;1.51E-02
3.425;1.415;1.63E-02
3.413;1.418;1.77E-02
3.401;1.421;1.93E-02
3.39;1.425;2.10E-02
3.378;1.427;2.29E-02
3.367;1.431;2.50E-02
3.356;1.434;2.62E-02
3.344;1.437;2.79E-02
3.333;1.441;2.97E-02
3.322;1.444;3.15E-02
3.311;1.448;3.48E-02
3.3;1.451;3.85E-02
3.289;1.454;4.22E-02
3.279;1.457;4.62E-02
3.268;1.461;5.04E-02
3.257;1.464;5.50E-02
3.247;1.467;6.00E-02
3.236;1.472;6.53E-02
3.226;1.474;7.16E-02
3.215;1.477;7.85E-02
3.205;1.479;8.55E-02
3.195;1.482;9.20E-02
3.185;1.485;9.94E-02
3.175;1.486;1.10E-01
3.165;1.487;1.17E-01
3.155;1.487;1.25E-01
3.145;1.487;1.34E-01
3.135;1.486;1.44E-01
3.125;1.483;1.53E-01
3.115;1.48;1.63E-01
3.106;1.476;1.73E-01
3.096;1.471;1.83E-01
3.086;1.465;1.95E-01
3.077;1.457;2.04E-01
3.067;1.45;2.12E-01
3.058;1.442;2.20E-01
3.049;1.434;2.28E-01
3.04;1.426;2.36E-01
3.03;1.417;2.43E-01
3.021;1.407;2.50E-01
3.012;1.398;2.55E-01
3.003;1.386;2.62E-01
2.994;1.376;2.67E-01
2.985;1.364;2.72E-01
2.976;1.353;2.76E-01
2.967;1.342;2.79E-01
2.959;1.329;2.82E-01
2.95;1.317;2.82E-01
2.941;1.305;2.81E-01
2.933;1.293;2.80E-01
2.924;1.282;2.76E-01
2.915;1.271;2.71E-01
2.907;1.258;2.65E-01
2.899;1.246;2.58E-01
2.89;1.233;2.49E-01
2.882;1.22;2.39E-01
2.874;1.212;2.29E-01
2.865;1.199;2.18E-01
2.857;1.191;2.06E-01
2.849;1.183;1.94E-01
2.841;1.177;1.80E-01
2.833;1.171;1.67E-01
2.825;1.165;1.54E-01
2.817;1.161;1.42E-01
2.809;1.158;1.31E-01
2.801;1.154;1.21E-01
2.793;1.149;1.12E-01
2.786;1.144;1.02E-01
2.778;1.141;9.27E-02
2.77;1.139;8.36E-02
2.762;1.138;7.44E-02
2.755;1.138;6.49E-02
2.747;1.139;5.48E-02
2.74;1.144;4.62E-02
2.732;1.149;3.80E-02
2.725;1.157;2.82E-02
2.717;1.166;2.05E-02
2.71;1.172;1.86E-02
2.703;1.179;1.64E-02
2.695;1.185;1.45E-02
2.688;1.191;1.27E-02
2.681;1.195;1.05E-02
2.674;1.2;8.55E-03
2.667;1.205;7.32E-03
2.66;1.21;6.27E-03
2.653;1.214;5.36E-03
2.646;1.218;4.82E-03
2.639;1.221;4.37E-03
2.632;1.224;4.02E-03
2.625;1.227;3.30E-03
2.618;1.23;2.98E-03
2.611;1.232;2.70E-03
2.604;1.235;2.57E-03
2.597;1.238;2.48E-03
2.591;1.24;2.43E-03
2.584;1.241;2.39E-03
2.577;1.243;2.34E-03
2.571;1.246;2.31E-03
2.564;1.247;2.27E-03
2.558;1.249;2.24E-03
2.551;1.25;2.19E-03
2.545;1.252;2.15E-03
2.538;1.254;2.12E-03
2.532;1.255;2.10E-03
2.525;1.256;2.07E-03
2.519;1.257;2.05E-03
2.513;1.259;2.00E-03
2.506;1.26;1.95E-03
2.5;1.261;1.90E-03
2.469;1.265;1.56E-03
2.439;1.27;1.23E-03
2.41;1.274;9.68E-04
2.381;1.277;7.92E-04
2.353;1.28;6.52E-04
2.326;1.282;5.42E-04
2.299;1.285;4.65E-04
2.273;1.287;4.16E-04
2.247;1.289;3.76E-04
2.222;1.291;3.45E-04
2.198;1.293;3.38E-04
2.174;1.294;3.41E-04
2.151;1.295;3.59E-04
2.128;1.296;4.00E-04
2.105;1.298;4.52E-04
2.083;1.298;5.14E-04
2.062;1.3;6.17E-04
2.041;1.301;7.31E-04
2.02;1.301;9.00E-04
2;1.303;1.10E-03
